<<<<<<< Updated upstream
Store Location,Product,Quantity,Price,Date
Melbourne Central,Milk,2,3.5,2023-03-15
Melbourne Central,Bread,1,4,2023-03-15
Chadstone,Milk,3,3.5,2023-03-16
Chadstone,Eggs,2,5,2023-03-16
Northland,Milk,4,3.5,2023-03-17
Northland,Fruit,2,6,2023-03-17
Melbourne Central,Yogurt,1,4,2023-03-18
Chadstone,Bread,2,4,2023-03-18
Northland,Milk,2,3.5,2023-03-19
Melbourne Central,Milk,1,3.5,2023-03-19
Chadstone,Yogurt,1,4,2023-03-20
Northland,Milk,3,3.5,2023-03-20
=======
Date,advertising_spend,sales
2023-01-01,1000,1500
2023-01-02,1200,1800
2023-01-03,1500,2100
2023-01-04,1800,2400
2023-01-05,2000,2700
2023-01-06,2200,3000
2023-01-07,2500,3300
2023-01-08,2800,3600
2023-01-09,3000,3900
2023-01-10,3200,4200
2023-01-11,3500,4500
2023-01-12,3800,4800
2023-01-13,4000,5100
2023-01-14,4200,5400
2023-01-15,4500,5700
2023-01-16,4800,6000
2023-01-17,5000,6300
2023-01-18,5200,6600
2023-01-19,5500,6900
2023-01-20,5800,7200
2023-01-21,6000,7500
2023-01-22,6200,7800
2023-01-23,6500,8100
2023-01-24,6800,8400
2023-01-25,7000,8700
2023-01-26,7200,9000
2023-01-27,7500,9300
2023-01-28,7800,9600
2023-01-29,8000,9900
2023-01-30,8200,10200
2023-01-31,8500,10500
2023-02-01,8800,10800
2023-02-02,9000,11100
2023-02-03,9200,11400
2023-02-04,9500,11700
2023-02-05,9800,12000
2023-02-06,10000,12300
2023-02-07,10200,12600
2023-02-08,10500,12900
2023-02-09,10800,13200
2023-02-10,11000,13500
2023-02-11,11200,13800
2023-02-12,11500,14100
2023-02-13,11800,14400
2023-02-14,12000,14700
2023-02-15,12200,15000
2023-02-16,12500,15300
2023-02-17,12800,15600
2023-02-18,13000,15900
2023-02-19,13200,16200
2023-02-20,13500,16500
2023-02-21,13800,16800
2023-02-22,14000,17100
2023-02-23,14200,17400
2023-02-24,14500,17700
2023-02-25,14800,18000
2023-02-26,15000,18300
2023-02-27,15200,18600
2023-02-28,15500,18900
>>>>>>> Stashed changes
